,STATE/UT,DISTRICT,Year,Cyber Blackmailing and Threatening ,Cyber Pornography,Cyber Stalking and Bullying,Defamation and Morphing,Fake Profile,Other Crimes 
59,ASSAM,KARIMGANJ,2007,33,8,1,9,0,30
60,ASSAM,KOKRAJHAR,2007,14,12,0,37,0,20
61,ASSAM,LAKHIMPUR,2007,64,62,0,22,0,93
62,ASSAM,MORIGAON,2007,23,37,0,6,0,28
63,ASSAM,N.C.HILLS,2007,2,4,0,2,0,7
64,ASSAM,NAGAON,2007,51,109,1,113,4,132
65,ASSAM,NALBARI,2007,30,27,3,16,0,15
66,ASSAM,R.P.O.,2007,3,0,0,0,0,0
67,ASSAM,SIBSAGAR,2007,47,64,0,28,0,0
68,ASSAM,SONITPUR,2007,53,80,1,43,0,99
69,ASSAM,TINSUKIA,2007,41,48,2,9,0,21
70,ASSAM,TOTAL,2007,817,1070,59,850,4,1248
71,BIHAR,ARARIA,2007,93,13,11,3,0,50
72,BIHAR,ARWAL,2007,0,0,7,11,0,14
73,BIHAR,AURANGABAD,2007,16,4,33,13,2,19
74,BIHAR,BAGAHA,2007,25,6,0,4,0,2
75,BIHAR,BANKA,2007,34,10,9,0,0,16
76,BIHAR,BEGUSARAI,2007,13,7,21,32,0,21
77,BIHAR,BETTIAH,2007,20,23,17,23,0,54
78,BIHAR,BHABHUA,2007,10,12,8,7,0,22
79,BIHAR,BHAGALPUR,2007,35,9,20,15,0,52
80,BIHAR,BHOJPUR,2007,22,13,23,0,4,29
81,BIHAR,BUXAR,2007,8,1,15,0,0,0
82,BIHAR,DARBHANGA,2007,19,16,37,40,0,34
83,BIHAR,GAYA,2007,25,15,26,27,0,24
84,BIHAR,GOPALGANJ,2007,13,18,22,0,2,155
85,BIHAR,JAMALPUR RLY.,2007,1,0,0,1,0,1
86,BIHAR,JAMUI,2007,10,1,16,8,0,15
87,BIHAR,JEHANABAD,2007,6,5,25,0,0,4
88,BIHAR,KATIHAR,2007,51,20,6,6,0,29
89,BIHAR,KATIHAR RLY.,2007,0,1,0,2,0,0
90,BIHAR,KHAGARIA,2007,5,6,11,6,0,2
91,BIHAR,KISHANGANJ,2007,22,16,4,2,1,39
92,BIHAR,LAKHISARAI,2007,10,7,6,12,0,5
93,BIHAR,MADHEPURA,2007,11,15,6,3,0,10
94,BIHAR,MADHUBANI,2007,13,11,12,41,0,18
95,BIHAR,MOTIHARI,2007,44,35,37,3,1,47
96,BIHAR,MUNGER,2007,11,15,8,0,0,39
97,BIHAR,MUZAFFARPUR,2007,73,25,69,81,0,141
98,BIHAR,MUZAFFARPUR RLY.,2007,2,1,0,4,0,1
99,BIHAR,NALANDA,2007,40,12,47,14,2,54
100,BIHAR,NAUGACHIA,2007,7,9,4,0,0,5
101,BIHAR,NAWADAH,2007,15,1,17,7,0,13
102,BIHAR,PATNA,2007,27,11,90,47,0,152
103,BIHAR,PATNA RLY.,2007,1,1,0,9,0,0
104,BIHAR,PURNEA,2007,39,23,8,5,0,22
105,BIHAR,ROHTAS,2007,25,18,36,21,0,59
106,BIHAR,SAHARSA,2007,12,10,7,9,0,12
107,BIHAR,SAMASTIPUR,2007,19,29,11,17,9,35
108,BIHAR,SARAN,2007,20,15,67,22,0,101
109,BIHAR,SHEIKHPURA,2007,3,1,9,0,0,32
110,BIHAR,SHEOHAR,2007,11,7,3,0,0,2
111,BIHAR,SITAMARHI,2007,23,20,13,1,0,21
112,BIHAR,SIWAN,2007,4,26,32,6,0,10
113,BIHAR,SUPAUL,2007,30,2,7,8,0,18
114,BIHAR,VAISHALI,2007,20,28,59,52,0,179
115,BIHAR,TOTAL,2007,888,518,859,562,21,1558
116,CHHATTISGARH,BALRAMPUR,2007,17,1,1,18,0,7
117,CHHATTISGARH,BILASPUR,2007,69,20,7,180,10,94
118,CHHATTISGARH,BIZAPUR,2007,4,0,0,1,0,0
119,CHHATTISGARH,DANTEWARA,2007,19,8,1,18,1,3
120,CHHATTISGARH,DHAMTARI,2007,22,4,1,41,5,6
121,CHHATTISGARH,DURG,2007,144,42,12,287,38,231
122,CHHATTISGARH,GRP RAIPUR,2007,0,0,0,4,0,1
123,CHHATTISGARH,JAGDALPUR,2007,59,4,3,49,2,14
124,CHHATTISGARH,JANJGIR,2007,29,6,9,110,13,116
125,CHHATTISGARH,JASHPUR,2007,36,2,2,41,1,4
126,CHHATTISGARH,KANKER,2007,42,4,1,36,3,10
127,CHHATTISGARH,KAWARDHA,2007,35,0,1,45,4,15
128,CHHATTISGARH,KORBA,2007,46,13,1,90,7,31
129,CHHATTISGARH,KORIYA,2007,34,7,3,102,2,31
130,CHHATTISGARH,MAHASAMUND,2007,43,7,6,69,6,21
131,CHHATTISGARH,RAIGARH,2007,53,6,2,104,5,22
132,CHHATTISGARH,RAIPUR,2007,104,28,16,253,42,121
133,CHHATTISGARH,RAJNANDGAON,2007,58,3,3,92,12,51
134,CHHATTISGARH,SARGUJA,2007,145,16,1,223,10,62
135,CHHATTISGARH,TOTAL,2007,959,171,70,1763,161,840
136,GOA,NORTH GOA,2007,4,1,2,12,2,6
137,GOA,SOUTH GOA,2007,8,5,0,5,5,5
138,GOA,TOTAL,2007,12,6,2,17,7,11
139,GUJARAT,AHMEDABAD COMMR.,2007,39,117,7,54,27,530
140,GUJARAT,AHMEDABAD RURAL,2007,5,27,0,26,0,84
141,GUJARAT,AHWA-DANG,2007,1,1,0,2,0,2
142,GUJARAT,AMRELI,2007,2,34,2,21,0,94
143,GUJARAT,ANAND,2007,3,28,0,27,3,210
144,GUJARAT,BHARUCH,2007,4,34,0,19,0,56
145,GUJARAT,BHAVNAGAR,2007,9,51,2,36,7,129
146,GUJARAT,DAHOD,2007,5,15,0,17,0,11
147,GUJARAT,GANDHINAGAR,2007,4,12,3,37,7,116
148,GUJARAT,HIMATNAGAR,2007,17,29,4,51,0,165
149,GUJARAT,JAMNAGAR,2007,20,22,2,18,2,163
150,GUJARAT,JUNAGADH,2007,14,39,11,44,8,384
151,GUJARAT,KHEDA NORTH,2007,11,30,0,43,0,122
152,GUJARAT,KUTCH,2007,2,22,2,25,1,176
153,GUJARAT,MEHSANA,2007,4,49,5,47,1,188
154,GUJARAT,NARMADA,2007,8,8,0,7,1,9
155,GUJARAT,NAVSARI,2007,2,5,0,6,0,17
156,GUJARAT,PALANPUR,2007,18,35,2,50,2,152
157,GUJARAT,PANCHMAHAL,2007,5,46,0,1,23,43
158,GUJARAT,PATAN,2007,3,21,0,23,0,78
159,GUJARAT,PORBANDAR,2007,6,5,0,10,0,64
160,GUJARAT,RAJKOT COMMR.,2007,5,38,3,19,12,199
161,GUJARAT,RAJKOT RURAL,2007,20,35,2,45,3,206
162,GUJARAT,SURAT COMMR.,2007,11,37,20,10,1,132
163,GUJARAT,SURAT RURAL,2007,26,16,0,11,0,34
164,GUJARAT,SURENDRANAGAR,2007,11,24,2,45,3,75
165,GUJARAT,VADODARA COMMR.,2007,3,32,0,11,10,90
166,GUJARAT,VADODARA RURAL,2007,18,34,0,34,0,81
167,GUJARAT,VALSAD,2007,9,11,0,10,0,50
168,GUJARAT,W.RLY,2007,1,0,0,7,0,7
169,GUJARAT,TOTAL,2007,286,857,67,756,111,3667
170,HARYANA,AMBALA,2007,11,32,11,27,0,132
171,HARYANA,BHIWANI,2007,10,7,33,17,0,43
172,HARYANA,FARIDABAD,2007,37,53,19,47,242,108
173,HARYANA,FATEHABAD,2007,17,13,17,17,0,93
174,HARYANA,GRP,2007,0,2,5,1,26,0
175,HARYANA,GURGAON,2007,32,32,17,21,21,136
176,HARYANA,HISSAR,2007,10,18,24,33,0,117
177,HARYANA,JHAJJAR,2007,21,8,20,42,13,122
178,HARYANA,JIND,2007,21,8,11,22,29,67
179,HARYANA,KAITHAL,2007,16,8,9,19,0,105
180,HARYANA,KARNAL,2007,44,10,18,28,2,97
181,HARYANA,KURUKSHETRA,2007,31,14,10,28,8,68
182,HARYANA,MAHENDRAGARH,2007,11,8,8,19,0,23
183,HARYANA,PANCHKULA,2007,6,15,4,23,10,43
184,HARYANA,PANIPAT,2007,38,10,11,16,11,92
185,HARYANA,REWARI,2007,11,11,12,17,0,14
186,HARYANA,ROHTAK,2007,28,6,17,26,20,41
187,HARYANA,SIRSA,2007,17,7,12,23,0,98
188,HARYANA,SONIPAT,2007,15,12,18,22,14,51
189,HARYANA,YAMUNANAGAR,2007,22,23,9,30,5,63
190,HARYANA,TOTAL,2007,398,297,285,478,401,1513
191,HIMACHAL PRADESH,BILASPUR,2007,5,9,1,35,1,47
192,HIMACHAL PRADESH,CHAMBA,2007,12,15,0,23,1,21
193,HIMACHAL PRADESH,G.R.P.,2007,0,0,0,0,0,0
194,HIMACHAL PRADESH,HAMIRPUR,2007,3,3,1,17,2,33
195,HIMACHAL PRADESH,KANGRA,2007,18,21,1,43,0,58
196,HIMACHAL PRADESH,KINNAUR,2007,6,3,0,4,0,2
197,HIMACHAL PRADESH,KULLU,2007,13,6,0,12,0,2
198,HIMACHAL PRADESH,LAHAUL-SPITI,2007,2,1,0,0,0,1
199,HIMACHAL PRADESH,MANDI,2007,16,10,0,59,4,56
200,HIMACHAL PRADESH,SHIMLA,2007,18,11,2,50,1,31
201,HIMACHAL PRADESH,SIRMAUR,2007,10,11,3,33,4,22
202,HIMACHAL PRADESH,SOLAN,2007,12,10,2,23,1,24
203,HIMACHAL PRADESH,UNA,2007,9,5,0,11,0,20
204,HIMACHAL PRADESH,TOTAL,2007,124,105,10,310,14,317
205,JAMMU & KASHMIR,ANANTNAG,2007,6,36,0,53,12,0
206,JAMMU & KASHMIR,AWANTIPORA,2007,1,13,0,8,2,0
207,JAMMU & KASHMIR,BARAMULLA,2007,28,59,0,93,14,0
208,JAMMU & KASHMIR,BORDER,2007,12,10,0,15,5,3
209,JAMMU & KASHMIR,BUDGAM,2007,7,34,0,35,9,0
210,JAMMU & KASHMIR,CRIME JAMMU,2007,0,0,0,0,0,0
211,JAMMU & KASHMIR,CRIME SRINAGAR,2007,0,0,0,0,0,0
212,JAMMU & KASHMIR,DODA,2007,7,15,0,6,2,1
213,JAMMU & KASHMIR,GANDERBAL,2007,5,31,0,30,4,0
214,JAMMU & KASHMIR,JAMMU,2007,13,43,5,40,94,26
215,JAMMU & KASHMIR,KARGIL,2007,0,1,0,1,0,0
216,JAMMU & KASHMIR,KATHUA,2007,13,10,3,14,4,1
217,JAMMU & KASHMIR,KULGAM,2007,6,31,0,7,11,0
218,JAMMU & KASHMIR,KUPWARA,2007,6,29,0,62,2,0
219,JAMMU & KASHMIR,LEH,2007,0,1,0,1,0,0
220,JAMMU & KASHMIR,POONCH,2007,13,10,0,4,6,2
221,JAMMU & KASHMIR,PULWAMA,2007,7,33,0,19,12,0
222,JAMMU & KASHMIR,RAILWAYS,2007,0,0,0,0,0,0
223,JAMMU & KASHMIR,RAJOURI,2007,17,20,3,7,6,6
224,JAMMU & KASHMIR,RAMBAN,2007,3,3,0,3,2,0
225,JAMMU & KASHMIR,REASI,2007,7,9,0,5,4,0
226,JAMMU & KASHMIR,SRINAGAR,2007,8,102,0,207,88,2
227,JAMMU & KASHMIR,UDHAMPUR,2007,10,14,2,12,11,9
228,JAMMU & KASHMIR,TOTAL,2007,169,504,13,622,288,50
229,JHARKHAND,BOKARO,2007,26,32,25,24,2,45
230,JHARKHAND,CHAIBASA,2007,32,10,0,6,0,0
231,JHARKHAND,CHATRA,2007,6,3,7,0,0,6
232,JHARKHAND,DEOGHAR,2007,22,0,10,13,1,10
233,JHARKHAND,DHANBAD,2007,32,45,30,47,0,18
234,JHARKHAND,DHANBAD RLY.,2007,2,0,0,0,0,0
235,JHARKHAND,DUMKA,2007,27,0,3,20,0,23
236,JHARKHAND,GARHWA,2007,11,2,15,0,0,5
237,JHARKHAND,GIRIDIH,2007,42,10,30,13,0,57
238,JHARKHAND,GODDA,2007,37,26,1,0,0,0
239,JHARKHAND,GUMLA,2007,29,11,0,2,0,10
240,JHARKHAND,HAZARIBAGH,2007,41,31,31,15,0,18
241,JHARKHAND,JAMSHEDPUR,2007,50,51,6,58,0,88
242,JHARKHAND,JAMSHEDPUR RLY.,2007,1,0,0,1,0,0
243,JHARKHAND,JAMTARA,2007,18,11,5,13,0,20
244,JHARKHAND,KODERMA,2007,2,2,11,8,1,29
245,JHARKHAND,LATEHAR,2007,12,2,6,0,0,0
246,JHARKHAND,LOHARDAGGA,2007,12,8,0,4,0,10
247,JHARKHAND,PAKUR,2007,23,0,7,0,0,18
248,JHARKHAND,PALAMU,2007,15,2,18,8,0,28
249,JHARKHAND,RANCHI,2007,73,1,4,24,1,78
250,JHARKHAND,SAHEBGANJ,2007,20,5,3,23,0,21
251,JHARKHAND,SARAIKELA,2007,17,15,4,18,0,0
252,JHARKHAND,SIMDEGA,2007,17,12,1,0,0,0
253,JHARKHAND,TOTAL,2007,567,279,217,297,5,484
254,KARNATAKA,BAGALKOT,2007,2,7,1,39,0,50
255,KARNATAKA,BANGALORE COMMR.,2007,40,56,40,223,51,229
256,KARNATAKA,BANGALORE RURAL,2007,13,10,30,90,0,123
257,KARNATAKA,BELGAUM,2007,8,12,4,62,0,125
258,KARNATAKA,BELLARY,2007,16,11,5,82,0,49
259,KARNATAKA,BIDAR,2007,7,10,2,90,3,51
260,KARNATAKA,BIJAPUR,2007,6,19,1,65,0,92
261,KARNATAKA,CHAMARAJNAGAR,2007,4,5,7,43,0,15
262,KARNATAKA,CHICKMAGALUR,2007,8,7,4,57,8,83
263,KARNATAKA,CHITRADURGA,2007,18,0,2,48,0,35
264,KARNATAKA,DAKSHIN KANNADA,2007,3,6,1,24,0,25
265,KARNATAKA,DAVANAGERE,2007,22,13,8,84,5,77
266,KARNATAKA,DHARWAD COMMR.,2007,4,4,2,3,0,24
267,KARNATAKA,DHARWAD RURAL,2007,3,2,3,8,0,8
268,KARNATAKA,GADAG,2007,2,2,3,10,0,18
269,KARNATAKA,GULBARGA,2007,20,21,6,143,1,104
270,KARNATAKA,HASSAN,2007,20,0,4,75,1,68
271,KARNATAKA,HAVERI,2007,3,11,5,42,0,32
272,KARNATAKA,K.G.F.,2007,1,7,4,12,0,20
273,KARNATAKA,KODAGU,2007,4,4,4,22,0,14
274,KARNATAKA,KOLAR,2007,17,18,18,42,0,39
275,KARNATAKA,KOPPAL,2007,6,12,5,40,1,23
276,KARNATAKA,MANDYA,2007,15,1,7,50,0,72
277,KARNATAKA,MYSORE COMMR.,2007,2,7,9,8,1,48
278,KARNATAKA,MYSORE RURAL,2007,12,4,6,79,2,51
279,KARNATAKA,RAICHUR,2007,12,5,1,63,4,52
280,KARNATAKA,RAILWAYS,2007,1,0,1,0,0,0
281,KARNATAKA,SHIMOGA,2007,12,10,6,65,0,134
282,KARNATAKA,TUMKUR,2007,6,4,28,53,0,44
283,KARNATAKA,UDUPI,2007,2,0,0,16,2,16
284,KARNATAKA,UTTAR KANNADA,2007,4,3,3,27,2,34
285,KARNATAKA,TOTAL,2007,293,271,220,1665,81,1755
286,KERALA,ALAPUZHA,2007,21,6,1,162,2,105
287,KERALA,CBCID,2007,2,0,0,0,0,4
288,KERALA,ERNAKULAM,2007,38,7,3,162,3,161
289,KERALA,IDUKKI,2007,34,0,0,145,16,127
290,KERALA,KANNUR,2007,42,7,0,77,7,157
291,KERALA,KASARGOD,2007,28,1,0,0,0,66
292,KERALA,KOLLAM,2007,55,9,3,235,0,315
293,KERALA,KOTTAYAM,2007,22,12,2,125,8,82
294,KERALA,KOZHIKODE,2007,39,10,2,118,8,319
295,KERALA,MALAPPURAM,2007,71,4,3,92,3,448
296,KERALA,PALAKKAD,2007,63,10,5,112,10,215
297,KERALA,PATHANAMTHITTA,2007,12,0,0,90,3,95
298,KERALA,RAILWAYS,2007,1,0,0,0,0,0
299,KERALA,THRISSUR,2007,42,9,2,223,16,198
300,KERALA,TRIVANDRUM,2007,57,21,6,345,2,210
301,KERALA,WAYANADU,2007,35,1,0,56,3,59
302,KERALA,TOTAL,2007,562,97,27,1942,81,2561
303,MADHYA PRADESH,BALAGHAT,2007,87,11,3,157,12,72
304,MADHYA PRADESH,BARWANI,2007,34,2,5,81,9,18
305,MADHYA PRADESH,BETUL,2007,95,16,7,135,4,71
306,MADHYA PRADESH,BHIND,2007,31,20,34,80,2,54
307,MADHYA PRADESH,BHOPAL,2007,106,48,15,252,56,132
308,MADHYA PRADESH,BHOPAL RLY.,2007,1,2,0,10,3,0
309,MADHYA PRADESH,CHHATARPUR,2007,65,23,20,193,10,46
310,MADHYA PRADESH,CHHINDWARA,2007,93,16,10,203,32,109
311,MADHYA PRADESH,DAMOH,2007,66,10,28,189,0,58
312,MADHYA PRADESH,DATIYA,2007,12,8,8,57,0,18
313,MADHYA PRADESH,DEWAS,2007,78,11,15,279,80,96
314,MADHYA PRADESH,DHAR,2007,68,18,41,168,21,88
315,MADHYA PRADESH,DINDORI,2007,20,2,0,53,6,4
316,MADHYA PRADESH,GUNA,2007,124,15,7,317,22,95
317,MADHYA PRADESH,GWALIOR,2007,59,22,20,139,8,49
318,MADHYA PRADESH,HARDA,2007,28,2,9,35,0,27
319,MADHYA PRADESH,HOSHANGABAD,2007,65,13,9,109,6,31
320,MADHYA PRADESH,INDORE,2007,84,35,25,215,63,161
321,MADHYA PRADESH,INDORE RLY.,2007,2,0,0,5,1,0
322,MADHYA PRADESH,JABALPUR,2007,108,20,28,264,50,81
323,MADHYA PRADESH,JABALPUR RLY.,2007,0,0,1,4,0,0
324,MADHYA PRADESH,JHABUA,2007,44,80,5,127,4,24
325,MADHYA PRADESH,KATNI,2007,25,3,11,106,12,59
326,MADHYA PRADESH,KHANDWA,2007,63,12,11,184,15,49
327,MADHYA PRADESH,KHARGON,2007,47,14,5,164,29,21
328,MADHYA PRADESH,MANDLA,2007,64,9,4,151,19,46
329,MADHYA PRADESH,MANDSAUR,2007,41,8,4,102,11,30
330,MADHYA PRADESH,MORENA,2007,35,18,29,77,2,34
331,MADHYA PRADESH,NARSINGHPUR,2007,70,4,22,156,16,40
332,MADHYA PRADESH,NEEMUCH,2007,37,7,1,83,18,62
333,MADHYA PRADESH,PANNA,2007,44,10,19,104,2,31
334,MADHYA PRADESH,RAISEN,2007,79,9,20,194,31,50
335,MADHYA PRADESH,RAJGARH,2007,95,9,7,196,26,49
336,MADHYA PRADESH,RATLAM,2007,70,13,4,125,28,53
337,MADHYA PRADESH,REWA,2007,31,18,18,105,2,56
338,MADHYA PRADESH,SAGAR,2007,141,16,29,509,0,142
339,MADHYA PRADESH,SATNA,2007,58,5,19,157,6,65
340,MADHYA PRADESH,SEONI,2007,52,2,10,106,23,25
341,MADHYA PRADESH,SHAHDOL,2007,63,13,9,216,3,87
342,MADHYA PRADESH,SHAJAPUR,2007,90,8,8,153,36,65
343,MADHYA PRADESH,SHEOPUR,2007,21,3,6,52,0,14
344,MADHYA PRADESH,SHIVPURI,2007,72,11,14,172,2,26
345,MADHYA PRADESH,SIDHI,2007,42,30,27,105,2,66
346,MADHYA PRADESH,SIHORE,2007,59,27,5,130,17,45
347,MADHYA PRADESH,TIKAMGARH,2007,86,4,15,177,2,27
348,MADHYA PRADESH,UJJAIN,2007,59,33,7,161,33,109
349,MADHYA PRADESH,UMARIYA,2007,25,2,2,61,5,21
350,MADHYA PRADESH,VIDISHA,2007,112,6,13,245,22,56
351,MADHYA PRADESH,TOTAL,2007,2851,668,609,7063,751,2562
352,MAHARASHTRA,AHMEDNAGAR,2007,44,25,0,74,2,496
353,MAHARASHTRA,AKOLA,2007,15,14,2,109,7,189
354,MAHARASHTRA,AMRAVATI COMMR.,2007,23,23,10,43,26,55
355,MAHARASHTRA,AMRAVATI RURAL,2007,42,25,4,99,38,92
356,MAHARASHTRA,AURANGABAD COMMR.,2007,14,14,4,33,12,102
357,MAHARASHTRA,AURANGABAD RURAL,2007,28,6,6,53,12,247
358,MAHARASHTRA,BEED,2007,22,15,2,78,15,177
359,MAHARASHTRA,BHANDARA,2007,39,1,5,71,37,60
360,MAHARASHTRA,BULDHANA,2007,22,18,35,118,21,223
361,MAHARASHTRA,CHANDRAPUR,2007,43,7,2,102,28,144
362,MAHARASHTRA,DHULE,2007,16,6,6,17,8,127
363,MAHARASHTRA,GADCHIROLI,2007,27,6,0,55,17,57
364,MAHARASHTRA,GONDIA,2007,23,17,4,85,22,80
365,MAHARASHTRA,HINGOLI,2007,20,8,2,44,4,134
366,MAHARASHTRA,JALGAON,2007,19,12,5,76,31,389
367,MAHARASHTRA,JALNA,2007,16,8,5,56,7,172
368,MAHARASHTRA,KOLHAPUR,2007,26,13,19,46,7,80
369,MAHARASHTRA,LATUR,2007,7,22,38,50,7,150
370,MAHARASHTRA,MUMBAI,2007,127,12,18,274,44,198
371,MAHARASHTRA,MUMBAI RLY.,2007,2,0,0,5,0,0
372,MAHARASHTRA,NAGPUR COMMR.,2007,39,51,7,75,56,218
373,MAHARASHTRA,NAGPUR RLY.,2007,2,0,2,4,0,0
374,MAHARASHTRA,NAGPUR RURAL,2007,81,16,3,131,294,141
375,MAHARASHTRA,NANDED,2007,23,36,21,85,22,202
376,MAHARASHTRA,NANDURBAR,2007,16,6,2,27,1,78
377,MAHARASHTRA,NASIK COMMR.,2007,9,9,3,19,2,99
378,MAHARASHTRA,NASIK RURAL,2007,39,10,7,74,37,339
379,MAHARASHTRA,NAVI MUMBAI,2007,17,7,5,23,5,57
380,MAHARASHTRA,OSMANABAD,2007,16,7,2,52,6,102
381,MAHARASHTRA,PARBHANI,2007,25,16,1,57,10,120
382,MAHARASHTRA,PUNE COMMR.,2007,56,28,2,54,105,147
383,MAHARASHTRA,PUNE RLY.,2007,0,0,0,3,0,0
384,MAHARASHTRA,PUNE RURAL,2007,42,17,5,64,11,165
385,MAHARASHTRA,RAIGAD,2007,20,1,1,29,7,55
386,MAHARASHTRA,RATNAGIRI,2007,10,4,0,32,19,62
387,MAHARASHTRA,SANGLI,2007,32,8,12,54,22,96
388,MAHARASHTRA,SATARA,2007,32,7,13,49,9,179
389,MAHARASHTRA,SINDHUDURG,2007,7,2,0,20,13,8
390,MAHARASHTRA,SOLAPUR COMMR.,2007,16,11,6,15,4,62
391,MAHARASHTRA,SOLAPUR RURAL,2007,35,14,6,40,12,90
392,MAHARASHTRA,THANE COMMR.,2007,39,37,6,69,43,212
393,MAHARASHTRA,THANE RURAL,2007,65,16,6,76,25,104
394,MAHARASHTRA,WARDHA,2007,35,12,9,98,35,89
395,MAHARASHTRA,WASHIM,2007,15,13,10,60,10,116
396,MAHARASHTRA,YAVATMAL,2007,56,31,12,125,27,177
397,MAHARASHTRA,TOTAL,2007,1302,611,308,2823,1120,6090
398,MANIPUR,BISHNUPUR,2007,1,3,0,0,0,1
399,MANIPUR,CHANDEL,2007,0,1,0,0,0,0
400,MANIPUR,CHURACHANDPUR,2007,1,0,0,0,0,0
401,MANIPUR,IMPHAL(EAST),2007,7,6,0,2,0,1
402,MANIPUR,IMPHAL(WEST),2007,7,37,0,17,0,3
403,MANIPUR,SENAPATI,2007,0,0,0,0,0,0
404,MANIPUR,TAMENGLONG,2007,0,0,0,0,0,0
405,MANIPUR,THOUBAL,2007,4,14,0,1,0,0
406,MANIPUR,UKHRUL,2007,0,1,0,1,0,0
407,MANIPUR,TOTAL,2007,20,62,0,21,0,5
